okrug,raion,price,living_complex,title,rooms,metro_time,info_total_area,info_living_area,info_kitchen_area,info_floor,info_total_floors,info_year_built,rent_price_per_month,rent_jkh,rent_deposit,rent_commissions,rent_prepayment,rent_term,rent_living_conditions
ЮВАО,р-н Некрасовка,65000,,"Сдается 2-комн. квартира, 55 м²",2,4.0,55.0,33.0,10.0,16,17,2010.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),ш. Рязановское,40000,ЖК «Алхимово»,"Сдается 1-комн. квартира, 35 м²",1,6.0,35.0,12.0,14.0,2,13,2021.0,40000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ВАО,р-н Метрогородок,65000,ЖК «Сиреневый парк»,"Сдается 1-комн. квартира, 28,6 м²",1,6.0,28.6,15.0,10.0,4,20,,65000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,
САО,р-н Савеловский,25000,,"Сдается 2-комн. квартира, 64 м²",2,11.0,64.0,,,9,25,,25000,включена (без счётчиков),25 000 ₽,нет,2 месяца,несколько месяцев,
ЮАО,р-н Нагатино-Садовники,70000,,"Сдается 1-комн. квартира, 32 м²",1,6.0,32.0,20.0,8.0,10,33,,70000,включена (счётчики включены),70 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Кузьминки,80000,,"Сдается 2-комн. квартира, 68 м²",2,6.0,68.0,34.0,13.0,8,18,,80000,включена (без счётчиков),80 000 ₽,нет,1 месяц,от года,можно с детьми и животными
СЗАО,р-н Митино,33000,ЖК «Мир Митино»,"Сдается студия, 20 м²",студия,6.0,20.0,15.0,1.0,2,25,,33000,включена (счётчики включены),33 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Десеновское поселение,82000,"ЖК «Новые Ватутинки, мкр. Центральный»","Сдается 3-комн. квартира, 94,3 м²",3,16.0,94.3,,24.6,16,17,2022.0,82000,включена (без счётчиков),90 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Молодцы деревня,26000,,"Сдается студия, 20 м²",студия,8.0,20.0,15.0,2.5,2,2,,26000,включена (без счётчиков),5 000 ₽,нет,1 месяц,от года,можно с животными
ЮВАО,р-н Рязанский,60000,ЖК «Михайловский парк»,"Сдается 1-комн. квартира, 36,5 м²",1,10.0,36.5,,12.7,9,32,2021.0,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,
САО,р-н Бескудниковский,61000,,"Сдается 2-комн. квартира, 55,8 м²",2,13.0,55.8,20.0,13.0,13,22,2006.0,61000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
САО,р-н Головинский,110000,ЖК «Кронштадтский 9»,"Сдается 2-комн. квартира, 40 м²",2,5.0,40.0,25.0,8.0,4,32,2024.0,110000,включена (без счётчиков),125 000 ₽,нет,1 месяц,от года,
ВАО,р-н Гольяново,45000,,"Сдается 2-комн. квартира, 44,6 м²",2,5.0,44.6,,6.0,5,5,,45000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Северное Тушино,65000,,"Сдается 1-комн. квартира, 50 м²",1,4.0,50.0,50.0,,23,25,2005.0,65000,включена (счётчики включены),70 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Хорошево-Мневники,150000,ЖК «Сердце Столицы»,"Сдается 2-комн. квартира, 46 м²",2,17.0,46.0,24.0,15.0,22,42,2023.0,150000,включена (без счётчиков),150 000 ₽,нет,1 месяц,от года,
САО,р-н Хорошевский,95000,,"Сдаются 1-комн. апартаменты, 30 м²",1,3.0,30.0,10.0,10.0,3,4,,95000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЗАО,р-н Кунцево,105000,ЖК «Достояние»,"Сдается 1-комн. квартира, 53 м²",1,4.0,53.0,,21.0,15,22,2019.0,105000,включена (без счётчиков),нет,нет,1 месяц,от года,
СВАО,р-н Алексеевский,145000,ЖК «Серебряный фонтан»,"Сдаются 2-комн. апартаменты, 50 м²",2,7.0,50.0,30.0,16.0,5,21,2020.0,145000,включена (без счётчиков),139 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Косино-Ухтомский,35000,,"Сдается 1-комн. квартира, 40,2 м²",1,12.0,40.2,,,4,13,2022.0,35000,включена (счётчики включены),30 000 ₽,нет,1 месяц,от года,можно с детьми
СЗАО,р-н Хорошево-Мневники,130000,,"Сдается 2-комн. квартира, 50 м²",2,11.0,50.0,,,28,36,2020.0,130000,включена (счётчики включены),130 000 ₽,нет,1 месяц,от года,
САО,р-н Тимирязевский,120000,ЖК «D1 (Д1)»,"Сдается 2-комн. квартира, 38,6 м²",2,1.0,38.6,21.2,6.0,21,29,,120000,включена (без счётчиков),120 000 ₽,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Донской,90000,ЖК «Новоданиловская 8»,"Сдается апартаменты-студия, 30 м²",студия,15.0,30.0,,,4,25,,90000,включена (счётчики включены),90 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),бул. Веласкеса,50000,ЖК «Испанские кварталы»,"Сдается 1-комн. квартира, 40 м²",1,7.0,40.0,,,10,13,2018.0,50000,включена (счётчики включены),50 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Зюзино,65000,ЖК «Нахимово»,"Сдается 1-комн. квартира, 39 м²",1,8.0,39.0,19.0,8.0,7,17,2010.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Нагатинский затон,160000,ЖК «Ривер Парк Коломенское»,"Сдается 3-комн. квартира, 63 м²",3,6.0,63.0,,,8,18,,160000,включена (без счётчиков),160 000 ₽,нет,1 месяц,от года,
