okrug,raion,price,living_complex,title,rooms,metro_time,info_total_area,info_living_area,info_kitchen_area,info_floor,info_total_floors,info_year_built,rent_price_per_month,rent_jkh,rent_deposit,rent_commissions,rent_prepayment,rent_term,rent_living_conditions
СЗАО,р-н Хорошево-Мневники,155000,ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,"Сдается 3-комн. квартира, 55,3 м²",3,24.0,55.3,,,15,49,2023.0,155000,включена (без счётчиков),155 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Головинский,36500,,"Сдается апартаменты-студия, 14 м²",студия,19.0,14.0,12.0,2.0,1,5,,36500,включена (счётчики включены),15 000 ₽,нет,1 месяц,несколько месяцев,
ЮВАО,р-н Выхино-Жулебино,45000,,"Сдается 1-комн. квартира, 35 м²",1,6.0,35.0,20.0,10.0,9,12,,45000,включена (счётчики включены),45 000 ₽,нет,1 месяц,несколько месяцев,
ЮЗАО,р-н Южное Бутово,65000,ЖК «Эталон-Сити»,"Сдается 1-комн. квартира, 41 м²",1,16.0,41.0,12.0,15.0,9,23,2017.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Куркино,55000,,"Сдается 1-комн. квартира, 42 м²",1,7.0,42.0,12.0,17.0,1,3,2007.0,55000,включена (счётчики включены),55 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Тверской,90000,,"Сдается 2-комн. квартира, 41 м²",2,10.0,41.0,,8.0,6,9,1980.0,90000,включена (счётчики включены),90 000 ₽,нет,1 месяц,от года,можно с животными
НАО (Новомосковский),Внуковское поселение,90000,ЖК «Переделкино Ближнее Город-парк»,"Сдается 2-комн. квартира, 63 м²",2,6.0,63.0,30.0,25.0,3,9,2021.0,90000,включена (без счётчиков),95 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Гольяново,50000,ЖК «Амурский парк»,"Сдается студия, 20 м²",студия,4.0,20.0,15.0,5.0,15,33,,50000,включена (без счётчиков),55 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Внуковское поселение,60000,ЖК «Городские истории (Рассказовка)»,"Сдается студия, 26 м²",студия,5.0,26.0,,,17,23,2024.0,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,
ВАО,р-н Новокосино,60000,,"Сдается 2-комн. квартира, 51 м²",2,4.0,51.0,40.0,9.0,3,14,1995.0,60000,включена (без счётчиков),30 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),ул. Аэростатная,50000,,"Сдается 2-комн. квартира, 35,9 м²",2,8.0,35.9,,,4,15,2023.0,50000,включена (без счётчиков),50 000 ₽,нет,2 месяца,от года,можно с детьми и животными
ЮВАО,р-н Кузьминки,40000,ЖК «My Space на Окской (Май Спейс на Окской)»,"Сдается студия, 15,4 м²",студия,15.0,15.4,11.0,,5,5,1971.0,40000,включена (счётчики включены),20 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЦАО,р-н Пресненский,75000,,"Сдается 1-комн. квартира, 33 м²",1,12.0,33.0,20.0,6.0,2,9,1970.0,75000,включена (без счётчиков),75 000 ₽,нет,2 месяца,от года,можно с детьми
СЗАО,р-н Щукино,85000,"ЖК «Тепличный переулок, 4»","Сдается 2-комн. квартира, 47 м²",2,5.0,47.0,,,16,28,2002.0,85000,включена (без счётчиков),85 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Выхино-Жулебино,38000,,"Сдается студия, 14 м²",студия,5.0,14.0,10.0,2.0,1,16,1979.0,38000,включена (счётчики включены),30 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Бирюлево Восточное,55000,ЖК «Царицыно-2»,"Сдается студия, 22 м²",студия,6.0,22.0,16.0,,2,16,2023.0,55000,включена (счётчики включены),30 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Люблино,65000,,"Сдается 1-комн. квартира, 37 м²",1,8.0,37.0,18.0,10.5,5,13,2024.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,несколько месяцев,
СВАО,р-н Ростокино,70000,,"Сдается 1-комн. квартира, 31 м²",1,3.0,31.0,,,8,8,1960.0,70000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,можно с животными
ЮВАО,р-н Марьино,65000,,"Сдается 1-комн. квартира, 40 м²",1,7.0,40.0,21.0,8.0,14,14,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Гольяново,62000,ЖК «Амурский парк»,"Сдается студия, 21 м²",студия,4.0,21.0,16.6,,13,17,2023.0,62000,включена (без счётчиков),62 000 ₽,нет,1 месяц,от года,
СВАО,р-н Бибирево,45000,ЖК «Clementine (Клементин)»,"Сдается студия, 18 м²",студия,7.0,18.0,,,5,8,,45000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,
ВАО,р-н Перово,78000,,"Сдается 2-комн. квартира, 72 м²",2,9.0,72.0,45.0,11.0,9,25,2002.0,78000,включена (без счётчиков),80 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Очаково-Матвеевское,55000,,"Сдается 1-комн. квартира, 35 м²",1,2.0,35.0,20.0,10.0,1,14,1976.0,55000,включена (счётчики включены),10 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЗАО,р-н Ново-Переделкино,40000,,"Сдается студия, 15,4 м²",студия,6.0,15.4,13.0,,1,17,1988.0,40000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,
СВАО,р-н Марьина роща,130000,,"Сдается 1-комн. квартира, 45 м²",1,14.0,45.0,,,2,5,1964.0,130000,включена (без счётчиков),130 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),ул. Саларьевская,70000,ЖК «Саларьево парк»,"Сдается 1-комн. квартира, 39,8 м²",1,4.0,39.8,12.0,18.9,14,25,2020.0,70000,включена (без счётчиков),нет,нет,1 месяц,от года,
ТАО (Троицкий),Троицк,55000,,"Сдается 2-комн. квартира, 60 м²",2,19.0,60.0,,10.0,1,2,1965.0,55000,включена (без счётчиков),1 ₽,нет,1 месяц,от года,можно с детьми
ЗелАО,р-н Крюково,48000,,"Сдается 1-комн. квартира, 39 м²",1,11.0,39.0,19.0,9.0,5,14,,48000,включена (без счётчиков),48 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),бул. Скандинавский,38000,ЖК «Скандинавия»,"Сдается студия, 20,3 м²",студия,5.0,20.3,16.0,2.0,2,17,2019.0,38000,включена (счётчики включены),38 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ВАО,р-н Новокосино,60000,,"Сдается 1-комн. квартира, 39 м²",1,5.0,39.0,19.0,9.0,14,17,1989.0,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Тропарево-Никулино,90000,,"Сдается 4-комн. квартира, 85 м²",4,5.0,85.0,,,5,16,,90000,включена (счётчики включены),нет,нет,1 месяц,от года,можно с детьми и животными
ТАО (Троицкий),Рогово поселок,38000,ЖК «Кутузовские берёзы»,"Сдается 2-комн. квартира, 60 м²",2,,60.0,40.0,12.0,3,4,2016.0,38000,включена (счётчики включены),38 000 ₽,нет,1 месяц,от года,
ВАО,р-н Соколиная гора,60000,ЖК «Измайловский Парк (Апартаменты бизнес-класса)»,"Сдается апартаменты-студия, 25 м²",студия,6.0,25.0,18.0,,18,23,,60000,включена (без счётчиков),нет,нет,1 месяц,от года,
СЗАО,р-н Северное Тушино,45000,,"Сдается 1-комн. квартира, 34 м²",1,7.0,34.0,,,5,9,1969.0,45000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,можно с детьми
ЗелАО,р-н Савёлки,38000,,"Сдается 1-комн. квартира, 38,9 м²",1,6.0,38.9,20.9,8.1,6,14,2000.0,38000,включена (счётчики включены),19 000 ₽,нет,1 месяц,от года,можно с детьми и животными
НАО (Новомосковский),Внуковское поселение,75000,ЖК «Городские истории (Рассказовка)»,"Сдается 2-комн. квартира, 50 м²",2,2.0,50.0,30.0,10.0,23,23,2021.0,75000,включена (без счётчиков),80 000 ₽,нет,1 месяц,несколько месяцев,
ЦАО,р-н Басманный,139000,,"Сдается 2-комн. квартира, 65 м²",2,1.0,65.0,,15.0,5,6,1929.0,139000,включена (счётчики включены),139 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Пресненский,40000,ЖК «Headliner (Хедлайнер)»,"Сдается студия, 30 м²",студия,8.0,30.0,20.0,10.0,6,55,,40000,включена (без счётчиков),30 000 ₽,нет,1 месяц,несколько месяцев,
НАО (Новомосковский),Внуковское поселение,70000,ЖК «Солнцево парк»,"Сдается 2-комн. квартира, 55 м²",2,6.0,55.0,,,6,25,2013.0,70000,включена (счётчики включены),70 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Лефортово,76000,"ЖК «проезд Шелихова, 9к1»","Сдается 1-комн. квартира, 40 м²",1,15.0,40.0,22.0,12.0,17,17,2023.0,76000,включена (без счётчиков),80 000 ₽,нет,1 месяц,от года,можно с детьми и животными
САО,р-н Головинский,43000,ЖК «My Space на Фестивальной»,"Сдается студия, 20 м²",студия,4.0,20.0,16.0,1.0,4,9,,43000,включена (без счётчиков),нет,нет,2 месяца,несколько месяцев,можно с детьми
ЦАО,р-н Пресненский,110000,,"Сдается 1-комн. квартира, 40 м²",1,10.0,40.0,20.0,10.0,9,46,,110000,включена (без счётчиков),110 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),проезд Чечерский,58000,,"Сдается 2-комн. квартира, 57 м²",2,5.0,57.0,30.7,10.0,6,16,,58000,включена (без счётчиков),58 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Коньково,120000,,"Сдается 2-комн. квартира, 52 м²",2,8.0,52.0,40.0,6.0,7,9,1969.0,120000,включена (счётчики включены),120 000 ₽,нет,1 месяц,от года,можно с детьми и животными
НАО (Новомосковский),Рязановское поселение,40000,ЖК «Алхимово»,"Сдается 1-комн. квартира, 35,3 м²",1,5.0,35.3,16.8,10.0,10,11,,40000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,
САО,р-н Савеловский,125000,ЖК «Петровский парк»,"Сдается 1-комн. квартира, 48 м²",1,13.0,48.0,15.0,20.0,7,25,,125000,включена (без счётчиков),125 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Западное Дегунино,80000,,"Сдаются 2-комн. апартаменты, 40 м²",2,6.0,40.0,22.0,18.0,19,22,2023.0,80000,включена (без счётчиков),нет,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Очаково-Матвеевское,48000,ЖК «Мичуринский парк»,"Сдается студия, 20 м²",студия,4.0,20.0,11.0,4.0,21,33,2022.0,48000,включена (без счётчиков),48 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Дорогомилово,210000,,"Сдается 3-комн. квартира, 102,6 м²",3,5.0,102.6,97.3,,5,9,1940.0,210000,включена (без счётчиков),210 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЦАО,р-н Пресненский,125000,,"Сдается 3-комн. квартира, 77 м²",3,8.0,77.0,48.0,11.0,5,12,1971.0,125000,включена (счётчики включены),125 000 ₽,нет,1 месяц,от года,
ВАО,р-н Косино-Ухтомский,65000,,"Сдается 2-комн. квартира, 64 м²",2,5.0,64.0,34.0,13.0,9,13,2006.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Головинский,110000,ЖК «Кронштадтский 9»,"Сдается 2-комн. квартира, 40 м²",2,5.0,40.0,25.0,8.0,4,32,2024.0,110000,включена (без счётчиков),110 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Кузьминки,65000,,"Сдается 2-комн. квартира, 57 м²",2,12.0,57.0,30.0,9.0,8,16,2001.0,65000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Рязанский,99000,ЖК «balance (баланс)»,"Сдается 2-комн. квартира, 51,6 м²",2,12.0,51.6,,,7,30,,99000,включена (без счётчиков),99 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Коньково,80000,,"Сдается 2-комн. квартира, 60 м²",2,3.0,60.0,,10.0,3,22,1987.0,80000,включена (счётчики включены),85 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Головинский,65000,ЖК «Водный»,"Сдается студия, 40,2 м²",студия,7.0,40.2,,,9,26,2015.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Зюзино,45000,,"Сдается студия, 15 м²",студия,6.0,15.0,10.0,3.0,7,9,1964.0,45000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Покровское-Стрешнево,100000,ЖК «Holland park (Холланд парк)»,"Сдается 1-комн. квартира, 39,3 м²",1,8.0,39.3,,,4,24,,100000,включена (без счётчиков),120 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Бирюлево Восточное,40000,,"Сдается 1-комн. квартира, 38,9 м²",1,,38.9,,9.0,3,12,1984.0,40000,включена (счётчики включены),20 000 ₽,нет,2 месяца,от года,
НАО (Новомосковский),Сосенское поселение,50000,,"Сдается студия, 23,3 м²",студия,6.0,23.3,,,8,17,2024.0,50000,включена (без счётчиков),55 000 ₽,нет,1 месяц,от года,
САО,р-н Бескудниковский,46000,,"Сдается 1-комн. квартира, 40 м²",1,7.0,40.0,20.0,5.0,5,5,1965.0,46000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми и животными
СЗАО,р-н Хорошево-Мневники,110000,ЖК «CRYSTAL Трилогия (Кристалл Трилогия)»,"Сдается 2-комн. квартира, 42 м²",2,24.0,42.0,,19.0,8,49,2023.0,110000,включена (без счётчиков),110 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Бирюлево Восточное,43000,,"Сдается 1-комн. квартира, 28 м²",1,5.0,28.0,15.0,,3,12,1973.0,43000,включена (без счётчиков),43 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Коньково,119000,,"Сдается 3-комн. квартира, 79 м²",3,3.0,79.0,45.0,9.0,3,22,1987.0,119000,включена (без счётчиков),238 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
САО,р-н Головинский,58900,ЖК «Водный»,"Сдается 1-комн. квартира, 26 м²",1,6.0,26.0,,,24,26,2015.0,58900,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Южное Бутово,78000,ЖК «Эталон-Сити»,"Сдается 1-комн. квартира, 45 м²",1,15.0,45.0,13.0,18.0,20,23,2016.0,78000,включена (без счётчиков),78 000 ₽,нет,1 месяц,от года,
ЗелАО,р-н Матушкино,45000,,"Сдается 2-комн. квартира, 50 м²",2,5.0,50.0,37.0,11.0,11,12,1965.0,45000,включена (без счётчиков),20 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Сосенское поселение,80000,ЖК «Прокшино»,"Сдается 1-комн. квартира, 44 м²",1,5.0,44.0,22.0,12.0,18,18,2022.0,80000,включена (без счётчиков),80 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Гольяново,50000,,"Сдается 2-комн. квартира, 55 м²",2,6.0,55.0,29.0,11.0,4,16,1979.0,50000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Внуковское поселение,60000,,"Сдается 2-комн. квартира, 50 м²",2,5.0,50.0,30.0,12.0,5,18,2017.0,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,можно с детьми
ЦАО,р-н Таганский,70000,,"Сдается апартаменты-студия, 26,8 м²",студия,7.0,26.8,,,3,8,2021.0,70000,включена (без счётчиков),50 000 ₽,нет,1 месяц,несколько месяцев,
САО,р-н Ховрино,35000,ЖК «мой адрес На Клинской»,"Сдается 2-комн. квартира, 57 м²",2,5.0,57.0,29.0,8.0,23,27,2022.0,35000,включена (счётчики включены),нет,нет,1 месяц,от года,
ЮВАО,р-н Южнопортовый,70000,ЖК «Метрополия»,"Сдается студия, 25,4 м²",студия,4.0,25.4,,,3,30,2021.0,70000,включена (без счётчиков),50 000 ₽,нет,2 месяца,от года,
НАО (Новомосковский),Сосенское поселение,57000,ЖК «Эко Бунино»,"Сдается 2-комн. квартира, 57 м²",2,7.0,57.0,30.0,13.0,12,14,2021.0,57000,включена (без счётчиков),57 000 ₽,нет,1 месяц,от года,можно с детьми и животными
САО,р-н Молжаниновский,45000,ЖК «Молжаниново»,"Сдается 1-комн. квартира, 40 м²",1,5.0,40.0,35.0,,12,18,2024.0,45000,включена (счётчики включены),30 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
СВАО,р-н Бабушкинский,55000,ЖК «Кольская 8»,"Сдается студия, 25 м²",студия,9.0,25.0,15.0,5.0,6,25,2022.0,55000,включена (без счётчиков),55 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Родниковая ул.,70000,ЖК «Румянцево-Парк»,"Сдается 2-комн. квартира, 38 м²",2,5.0,38.0,24.0,12.0,17,22,2021.0,70000,включена (счётчики включены),нет,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Люблино,80000,ЖК «Люблинский парк»,"Сдается 2-комн. квартира, 72 м²",2,6.0,72.0,46.0,15.0,14,25,2021.0,80000,включена (без счётчиков),80 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ВАО,р-н Метрогородок,49000,ЖК «Лосиноостровский парк»,"Сдается студия, 20 м²",студия,7.0,20.0,15.0,5.0,15,17,2024.0,49000,включена (без счётчиков),49 000 ₽,нет,1 месяц,от года,
ТАО (Троицкий),Новофедоровское поселение,35000,,"Сдается 1-комн. квартира, 36 м²",1,21.0,36.0,18.0,11.0,3,3,2018.0,35000,включена (счётчики включены),35 000 ₽,нет,2 месяца,от года,можно с детьми
ЦАО,р-н Пресненский,230000,ЖК «Пресня Сити»,"Сдаются 3-комн. апартаменты, 69,5 м²",3,13.0,69.5,,,21,44,2018.0,230000,включена (без счётчиков),нет,нет,2 месяца,от года,можно с детьми
САО,р-н Хорошевский,87000,ЖК «Лайнер»,"Сдаются 1-комн. апартаменты, 33 м²",1,10.0,33.0,,,4,15,2017.0,87000,включена (счётчики включены),90 000 ₽,нет,1 месяц,от года,
САО,р-н Коптево,60000,,"Сдается 2-комн. квартира, 39 м²",2,20.0,39.0,25.0,8.0,2,9,1962.0,60000,включена (счётчики включены),60 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Внуковское поселение,50000,ЖК «Солнцево парк»,"Сдается 1-комн. квартира, 38 м²",1,5.0,38.0,,,15,17,2013.0,50000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми
СВАО,р-н Ярославский,49000,,"Сдается 1-комн. квартира, 40 м²",1,9.0,40.0,21.0,9.0,7,12,1980.0,49000,включена (без счётчиков),49 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Текстильщики,95000,,"Сдается 2-комн. квартира, 55 м²",2,21.0,55.0,38.0,14.0,6,17,2024.0,95000,включена (без счётчиков),95 000 ₽,нет,1 месяц,от года,
САО,р-н Молжаниновский,30000,ЖК «1-й Ленинградский»,"Сдается 3-комн. квартира, 66,8 м²",3,12.0,66.8,35.6,13.4,14,16,,30000,включена (счётчики включены),30 000 ₽,нет,1 месяц,несколько месяцев,
САО,р-н Сокол,80000,,"Сдается апартаменты-студия, 33 м²",студия,10.0,33.0,30.0,,12,14,,80000,включена (без счётчиков),80 000 ₽,нет,1 месяц,несколько месяцев,
САО,р-н Западное Дегунино,60000,ЖК «Бусиновский парк»,"Сдается студия, 20 м²",студия,7.0,20.0,,,23,33,2023.0,60000,включена (счётчики включены),60 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮАО,р-н Бирюлево Восточное,44000,,"Сдается 1-комн. квартира, 38 м²",1,4.0,38.0,21.0,10.0,4,16,1977.0,44000,включена (счётчики включены),44 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Южнопортовый,165000,ЖК «Метрополия»,"Сдается 3-комн. квартира, 60 м²",3,3.0,60.0,,,13,30,,165000,включена (счётчики включены),165 000 ₽,нет,1 месяц,от года,можно с детьми и животными
САО,р-н Головинский,45000,,"Сдается 1-комн. квартира, 34,7 м²",1,5.0,34.7,20.0,10.0,4,16,,45000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Даниловский,105000,,"Сдается апартаменты-студия, 28 м²",студия,2.0,28.0,24.0,,16,24,2021.0,105000,включена (счётчики включены),60 000 ₽,нет,1 месяц,несколько месяцев,
ЗелАО,р-н Силино,35000,,"Сдается 1-комн. квартира, 40 м²",1,4.0,40.0,20.0,10.0,10,14,1989.0,35000,включена (счётчики включены),35 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Очаково-Матвеевское,80000,ЖК «Матвеевский парк»,"Сдается студия, 27 м²",студия,4.0,27.0,18.0,7.4,31,33,2023.0,80000,включена (без счётчиков),80 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЮВАО,р-н Некрасовка,45000,ЖК «Квартал Некрасовка»,"Сдается 1-комн. квартира, 44 м²",1,4.0,44.0,21.0,15.0,6,17,2021.0,45000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Даниловский,105000,ЖК «ЗИЛАРТ»,"Сдается 1-комн. квартира, 42,6 м²",1,11.0,42.6,,,4,8,2019.0,105000,включена (без счётчиков),105 000 ₽,нет,1 месяц,от года,
ВАО,р-н Косино-Ухтомский,47000,,"Сдается 1-комн. квартира, 38 м²",1,4.0,38.0,19.0,7.3,6,12,2005.0,47000,включена (без счётчиков),20 000 ₽,нет,2 месяца,от года,можно с детьми
ЦАО,р-н Пресненский,200000,ЖК «Headliner (Хедлайнер)»,"Сдается 2-комн. квартира, 55 м²",2,3.0,55.0,30.0,10.0,18,51,2019.0,200000,включена (счётчики включены),200 000 ₽,нет,1 месяц,от года,
ВАО,р-н Сокольники,65000,,"Сдается 1-комн. квартира, 34 м²",1,6.0,34.0,19.0,,6,15,1970.0,65000,включена (счётчики включены),65 000 ₽,нет,2 месяца,несколько месяцев,
ЮВАО,р-н Некрасовка,48000,ЖК «Некрасовка-Парк»,"Сдается 1-комн. квартира, 38 м²",1,2.0,38.0,,10.0,5,17,2015.0,48000,включена (без счётчиков),48 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Таганский,77000,,"Сдается 3-комн. квартира, 41,9 м²",3,5.0,41.9,30.0,4.0,8,8,1961.0,77000,включена (без счётчиков),77 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮАО,р-н Чертаново Южное,95000,ЖК «Ютаново»,"Сдается 3-комн. квартира, 51 м²",3,10.0,51.0,,,21,33,2023.0,95000,включена (без счётчиков),95 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Рязановское поселение,48000,ЖК «Остафьево»,"Сдается 2-комн. квартира, 32 м²",2,7.0,32.0,20.0,6.0,7,17,,48000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Тимирязевский,60000,,"Сдается 2-комн. квартира, 48 м²",2,11.0,48.0,31.0,8.0,3,5,1961.0,60000,включена (счётчики включены),60 000 ₽,нет,1 месяц,от года,можно с детьми и животными
НАО (Новомосковский),ул. Медовая Долина,38000,ЖК «Баркли Медовая долина»,"Сдается студия, 28,4 м²",студия,6.0,28.4,24.0,2.5,3,7,2018.0,38000,включена (без счётчиков),38 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Хамовники,125000,,"Сдается 2-комн. квартира, 60 м²",2,14.0,60.0,34.0,9.0,8,8,1957.0,125000,включена (счётчики включены),1 ₽,нет,1 месяц,от года,можно с животными
СВАО,р-н Свиблово,65000,,"Сдается 2-комн. квартира, 50 м²",2,8.0,50.0,30.0,7.5,9,14,1969.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Внуковское поселение,40000,ЖК «Рассказово»,"Сдается 2-комн. квартира, 59 м²",2,6.0,59.0,21.0,16.0,1,22,2024.0,40000,включена (счётчики включены),43 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Южное Бутово,40000,,"Сдается 1-комн. квартира, 38,1 м²",1,12.0,38.1,19.1,8.0,10,12,2000.0,40000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),ул. Гренадерская,35000,"ЖК «Новые Ватутинки, мкр. Десна»","Сдается студия, 22 м²",студия,12.0,22.0,15.0,4.0,10,16,2022.0,35000,включена (счётчики включены),30 000 ₽,нет,1 месяц,несколько месяцев,
ЗАО,р-н Очаково-Матвеевское,70000,ЖК «Новое Очаково»,"Сдается 1-комн. квартира, 32 м²",1,6.0,32.0,10.0,17.0,16,33,,70000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,
САО,р-н Коптево,100000,,"Сдается 3-комн. квартира, 73,8 м²",3,5.0,73.8,45.0,10.6,7,17,1988.0,100000,включена (без счётчиков),100 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЗАО,р-н Раменки,95000,ЖК «Лобачевский»,"Сдается 1-комн. квартира, 46 м²",1,9.0,46.0,25.0,12.0,12,24,2017.0,95000,включена (счётчики включены),70 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),просп. Магеллана,55000,ЖК «Испанские кварталы»,"Сдается 1-комн. квартира, 40,3 м²",1,5.0,40.3,14.3,13.1,4,9,,55000,включена (без счётчиков),55 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Обручевский,55000,,"Сдается 1-комн. квартира, 40 м²",1,12.0,40.0,20.0,9.0,9,17,2005.0,55000,включена (без счётчиков),55 000 ₽,нет,1 месяц,от года,
ТАО (Троицкий),Троицк,35000,,"Сдается 1-комн. квартира, 46 м²",1,,46.0,20.0,20.0,6,17,,35000,включена (счётчики включены),нет,нет,2 месяца,от года,
ЗАО,р-н Очаково-Матвеевское,92000,ЖК «Матвеевский парк»,"Сдается 1-комн. квартира, 32,4 м²",1,4.0,32.4,,,21,32,2023.0,92000,включена (без счётчиков),90 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),проезд Чечерский,45000,ЖК «Новое Бутово»,"Сдается 1-комн. квартира, 38,5 м²",1,6.0,38.5,18.0,11.0,14,16,2013.0,45000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Можайский,95000,ЖК «Кутузов Град»,"Сдается 1-комн. квартира, 38 м²",1,21.0,38.0,25.0,11.0,20,26,2021.0,95000,включена (счётчики включены),100 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Покровское-Стрешнево,110000,ЖК «Апартаментный комплекс Level Стрешнево (Левел Стрешнево)»,"Сдаются 2-комн. апартаменты, 46 м²",2,6.0,46.0,20.0,6.0,14,25,,110000,включена (без счётчиков),110 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Пресненский,90000,,"Сдается 1-комн. квартира, 42 м²",1,3.0,42.0,27.0,9.5,7,8,1960.0,90000,включена (без счётчиков),90 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Московский поселение,55000,,"Сдается студия, 20 м²",студия,4.0,20.0,,,10,15,2018.0,55000,включена (без счётчиков),55 000 ₽,нет,1 месяц,несколько месяцев,можно с животными
САО,р-н Ховрино,72000,ЖК «Discovery (Дискавери)»,"Сдается студия, 29,1 м²",студия,11.0,29.1,15.0,,3,22,2021.0,72000,включена (счётчики включены),75 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
ВАО,р-н Северное Измайлово,48000,,"Сдается 1-комн. квартира, 30 м²",1,23.0,30.0,19.0,6.5,5,9,,48000,включена (счётчики включены),48 000 ₽,нет,1 месяц,от года,можно с детьми
