district,area,price,rooms,metro_time,info_total_area,rent_jkh,rent_prepayment,rent_term,rent_living_conditions,floor_ratio,last_floor,year_built_interval
СЗАО,р-н Покровское-Стрешнево,110000,2,6.0,46.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.56,0,не попал
ЦАО,р-н Пресненский,90000,1,3.0,42.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.875,0,1945-1970
НАО (Новомосковский),Московский поселение,55000,студия,4.0,20.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с животными,0.6666666666666666,0,1991-2025
САО,р-н Ховрино,72000,студия,11.0,29.1,включена (счётчики включены),1 месяц,несколько месяцев,можно с детьми,0.13636363636363635,0,1991-2025
ВАО,р-н Северное Измайлово,48000,1,23.0,30.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5555555555555556,0,не попал
ЗАО,р-н Очаково-Матвеевское,86000,2,4.0,36.2,включена (счётчики включены),1 месяц,от года,можно с детьми,0.2727272727272727,0,1991-2025
ЮВАО,р-н Марьино,85000,3,4.0,74.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.9411764705882353,0,не попал
ЮВАО,р-н Люблино,48000,1,19.0,36.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.875,0,1970-1990
ЮВАО,р-н Нижегородский,62000,студия,12.0,19.7,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7272727272727273,0,1991-2025
ЦАО,р-н Пресненский,270000,3,7.0,80.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.4,0,1945-1970
НАО (Новомосковский),Сосенское поселение,65000,1,7.0,40.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.8888888888888888,0,1991-2025
ЮАО,р-н Царицыно,85000,3,4.0,50.8,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.8787878787878788,0,1991-2025
ЦАО,р-н Арбат,140000,2,9.0,63.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.25,0,не попал
НАО (Новомосковский),ул. Усадебный Парк,48000,1,14.0,33.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.3333333333333333,0,1991-2025
САО,р-н Западное Дегунино,110000,2,8.0,54.0,включена (счётчики включены),1 месяц,от года,можно с животными,0.6086956521739131,0,1991-2025
САО,р-н Головинский,105000,студия,4.0,37.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.21428571428571427,0,1991-2025
ЮАО,р-н Даниловский,310000,3,20.0,93.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.3125,0,1991-2025
НАО (Новомосковский),ул. Сальвадора Дали,47000,студия,6.0,22.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.17647058823529413,0,1991-2025
ЮАО,р-н Чертаново Южное,70000,1,10.0,46.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.3076923076923077,0,1991-2025
НАО (Новомосковский),ул. Харлампиева,49000,2,13.0,54.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.8571428571428571,0,1991-2025
ВАО,р-н Северное Измайлово,65000,1,6.0,35.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.25,0,не попал
СЗАО,р-н Покровское-Стрешнево,85000,3,4.0,74.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.8888888888888888,0,1970-1990
ЮВАО,р-н Нижегородский,59000,студия,12.0,23.5,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.5151515151515151,0,1991-2025
НАО (Новомосковский),Московский,45000,1,8.0,37.0,включена (без счётчиков),1 месяц,от года,можно с животными,0.5882352941176471,0,не попал
НАО (Новомосковский),Родниковая ул.,65000,1,5.0,34.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.2727272727272727,0,1991-2025
ЮАО,р-н Нагатинский затон,70000,1,8.0,35.7,включена (без счётчиков),1 месяц,от года,можно с детьми,0.06666666666666667,0,не попал
СЗАО,р-н Хорошево-Мневники,85000,1,10.0,33.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.3157894736842105,0,1991-2025
СВАО,р-н Останкинский,27000,студия,4.0,24.0,включена (счётчики включены),2 месяца,несколько месяцев,"ни с детьми, ни с животными",0.2777777777777778,0,не попал
НАО (Новомосковский),Десеновское поселение,60000,1,18.0,35.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.13333333333333333,0,1991-2025
САО,р-н Восточное Дегунино,45000,1,4.0,36.2,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.8888888888888888,0,не попал
СВАО,р-н Бибирево,65000,2,6.0,53.6,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.1875,0,1970-1990
НАО (Новомосковский),Кокошкино поселение,53000,2,6.0,36.7,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.5714285714285714,0,1991-2025
ЮЗАО,р-н Академический,170000,3,9.0,105.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.2564102564102564,0,1991-2025
ЮВАО,р-н Нижегородский,90000,1,13.0,42.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7575757575757576,0,1991-2025
ЮЗАО,р-н Черемушки,110000,3,6.0,74.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7647058823529411,0,1991-2025
НАО (Новомосковский),Щербинка,37000,1,4.0,30.0,включена (без счётчиков),1 месяц,от года,можно с животными,0.8636363636363636,0,1991-2025
ЗАО,р-н Внуково,80000,3,9.0,65.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.8333333333333334,0,1970-1990
СВАО,р-н Марьина роща,70000,студия,16.0,27.2,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.21428571428571427,0,1991-2025
САО,р-н Западное Дегунино,70000,2,7.0,35.5,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.12121212121212122,0,не попал
НАО (Новомосковский),Коммунарка поселок,75000,2,12.0,45.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4166666666666667,0,1991-2025
ВАО,р-н Соколиная гора,130000,2,8.0,62.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.875,0,1991-2025
ЦАО,р-н Красносельский,105000,3,5.0,69.8,включена (счётчики включены),1 месяц,от года,можно с детьми,0.875,0,1917-1945
ЮВАО,р-н Нижегородский,49000,студия,23.0,13.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4166666666666667,0,1991-2025
ЗАО,р-н Раменки,170000,2,4.0,50.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.4838709677419355,0,1991-2025
ВАО,р-н Вешняки,42000,1,10.0,30.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.3333333333333333,0,не попал
ВАО,р-н Восточное Измайлово,85000,3,3.0,90.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.6,0,1945-1970
НАО (Новомосковский),ш. Рязановское,35000,1,6.0,34.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.25,0,не попал
ЦАО,р-н Басманный,80000,1,7.0,40.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.125,0,1970-1990
ЮВАО,р-н Выхино-Жулебино,40000,1,6.0,33.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2222222222222222,0,1945-1970
НАО (Новомосковский),Московский,53000,1,9.0,43.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6,0,1991-2025
НАО (Новомосковский),Коммунарка поселок,68000,2,4.0,43.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.96,0,1991-2025
ВАО,р-н Соколиная гора,65000,студия,6.0,20.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.4166666666666667,0,не попал
НАО (Новомосковский),Сосенское поселение,47000,студия,9.0,26.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4375,0,1991-2025
ВАО,р-н Преображенское,115000,студия,4.0,38.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.7647058823529411,0,1991-2025
САО,р-н Дмитровский,45000,1,4.0,37.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.7272727272727273,0,1991-2025
ЗелАО,р-н Савёлки,40000,1,5.0,35.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.42857142857142855,0,не попал
СЗАО,р-н Хорошево-Мневники,150000,2,14.0,43.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.6341463414634146,0,1991-2025
СВАО,р-н Останкинский,120000,3,7.0,82.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.5,0,не попал
ЮВАО,р-н Люблино,48000,1,4.0,38.4,включена (без счётчиков),1 месяц,от года,можно с детьми,0.2857142857142857,0,не попал
САО,р-н Западное Дегунино,100000,1,8.0,43.0,включена (счётчики включены),1 месяц,от года,можно с животными,0.9047619047619048,0,1991-2025
ЗАО,р-н Фили-Давыдково,95000,3,7.0,58.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.2222222222222222,0,1970-1990
САО,р-н Хорошевский,180000,2,5.0,55.0,включена (счётчики включены),2 месяца,от года,можно с детьми и животными,0.5,0,1991-2025
СВАО,р-н Алексеевский,200000,3,10.0,60.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.5909090909090909,0,1991-2025
СЗАО,р-н Хорошево-Мневники,130000,1,11.0,46.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.9444444444444444,0,не попал
ВАО,р-н Соколиная гора,65000,студия,6.0,18.2,включена (счётчики включены),1 месяц,от года,можно с детьми,0.25,0,не попал
НАО (Новомосковский),ул. Лобановский Лес,80000,2,7.0,44.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.8666666666666667,0,не попал
СЗАО,р-н Митино,42000,студия,8.0,26.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.08333333333333333,0,не попал
ВАО,р-н Гольяново,80000,3,5.0,56.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.1111111111111111,0,1970-1990
ЗелАО,р-н Крюково,45000,студия,7.0,22.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.9090909090909091,0,1991-2025
НАО (Новомосковский),проезд Чечерский,55000,1,5.0,40.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.7,0,не попал
ЮАО,р-н Нагорный,49000,1,5.0,33.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.7777777777777778,0,не попал
НАО (Новомосковский),Сосенское поселение,59000,студия,7.0,25.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.625,0,не попал
ЮЗАО,р-н Южное Бутово,48000,1,11.0,33.3,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.9411764705882353,0,не попал
СВАО,р-н Останкинский,60000,студия,21.0,26.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.18181818181818182,0,1991-2025
ЗАО,р-н Очаково-Матвеевское,48000,1,11.0,36.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.5,0,1945-1970
САО,р-н Западное Дегунино,90000,2,7.0,48.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.3333333333333333,0,1991-2025
НАО (Новомосковский),Сосенское поселение,46000,студия,7.0,25.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6666666666666666,0,1991-2025
ВАО,р-н Косино-Ухтомский,100000,3,5.0,76.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми и животными,0.7142857142857143,0,не попал
СВАО,р-н Лианозово,47990,1,5.0,38.0,включена (счётчики включены),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.625,0,не попал
ЗАО,р-н Кунцево,120000,2,19.0,80.6,включена (без счётчиков),1 месяц,от года,можно с детьми,0.8125,0,1970-1990
ЗАО,р-н Дорогомилово,230000,4,7.0,100.0,включена (без счётчиков),2 месяца,от года,"ни с детьми, ни с животными",0.7142857142857143,0,1917-1945
СЗАО,р-н Хорошево-Мневники,105000,2,14.0,45.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.28125,0,не попал
ЮВАО,р-н Лефортово,125000,1,16.0,50.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,не попал
ЮВАО,р-н Лефортово,85000,студия,19.0,31.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.7647058823529411,0,1991-2025
ЮЗАО,р-н Ясенево,70000,2,6.0,58.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.1111111111111111,0,1970-1990
НАО (Новомосковский),ул. 1-я Нововатутинская,45000,1,15.0,38.0,включена (без счётчиков),2 месяца,от года,"ни с детьми, ни с животными",0.8333333333333334,0,не попал
ЮАО,р-н Нагорный,75000,1,10.0,42.5,включена (счётчики включены),1 месяц,от года,можно с детьми,0.48,0,1991-2025
ТАО (Троицкий),Первомайское поселок,40000,2,10.0,40.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.75,0,1991-2025
САО,р-н Хорошевский,490000,4,15.0,156.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.5,0,1991-2025
НАО (Новомосковский),Щербинка,41000,1,9.0,40.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.3333333333333333,0,не попал
ЗАО,р-н Можайский,65000,студия,5.0,34.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,1.0,1,1991-2025
ЗАО,р-н Кунцево,39999,студия,10.0,23.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.52,0,1991-2025
ЮВАО,р-н Лефортово,110000,1,9.0,38.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.9230769230769231,0,1991-2025
СЗАО,р-н Щукино,110000,2,24.0,60.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.2857142857142857,0,не попал
ЮВАО,р-н Нижегородский,89000,2,12.0,35.9,включена (счётчики включены),2 месяца,от года,"ни с детьми, ни с животными",0.6923076923076923,0,1991-2025
ЮВАО,р-н Текстильщики,45000,1,15.0,32.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.3333333333333333,0,не попал
САО,р-н Хорошевский,100000,студия,3.0,40.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,1991-2025
САО,р-н Хорошевский,165000,студия,8.0,58.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2222222222222222,0,1991-2025
ВАО,р-н Перово,100000,3,2.0,62.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,1945-1970
ЗАО,р-н Тропарево-Никулино,49000,1,12.0,32.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.75,0,не попал
САО,р-н Коптево,90000,3,5.0,58.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,1945-1970
НАО (Новомосковский),Коммунарка поселок,85000,2,5.0,72.0,включена (без счётчиков),2 месяца,несколько месяцев,можно с детьми,1.0,1,1991-2025
САО,р-н Хорошевский,235000,2,5.0,74.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6153846153846154,0,1991-2025
САО,р-н Коптево,45000,1,19.0,17.8,включена (счётчики включены),1 месяц,от года,можно с детьми,0.8,0,не попал
СЗАО,р-н Митино,73000,2,5.0,59.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.4090909090909091,0,1991-2025
НАО (Новомосковский),Сосенское поселение,45000,студия,7.0,23.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.35294117647058826,0,1991-2025
ЮЗАО,р-н Гагаринский,90000,2,5.0,47.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,1.0,1,1945-1970
ЮАО,р-н Чертаново Северное,45000,1,4.0,38.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.058823529411764705,0,1970-1990
ЮАО,р-н Орехово-Борисово Северное,85000,3,18.0,69.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.6666666666666666,0,1970-1990
САО,р-н Войковский,135000,2,12.0,45.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7391304347826086,0,1991-2025
ЗАО,р-н Очаково-Матвеевское,90000,3,6.0,62.7,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5833333333333334,0,1945-1970
САО,р-н Хорошевский,110000,1,3.0,56.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2702702702702703,0,1991-2025
СВАО,р-н Бибирево,44000,студия,7.0,19.2,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.625,0,1991-2025
ЮВАО,р-н Выхино-Жулебино,45000,1,5.0,36.2,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.875,0,1970-1990
ЮАО,р-н Даниловский,129000,3,11.0,69.5,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.8,0,1917-1945
ЗелАО,р-н Старое Крюково,36000,студия,12.0,14.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5555555555555556,0,1970-1990
НАО (Новомосковский),Сосенское поселение,43000,1,7.0,37.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,1991-2025
ЮВАО,р-н Текстильщики,50000,1,16.0,35.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.75,0,1970-1990
ТАО (Троицкий),Троицк,43000,2,20.0,53.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.125,0,1970-1990
ЮВАО,р-н Некрасовка,42000,1,6.0,40.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.23529411764705882,0,1991-2025
СЗАО,р-н Хорошево-Мневники,30000,3,17.0,70.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.0975609756097561,0,1991-2025
ЮАО,р-н Зябликово,95000,2,13.0,59.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6111111111111112,0,не попал
ЮАО,р-н Москворечье-Сабурово,49000,1,19.0,30.2,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,1945-1970
ЗАО,р-н Кунцево,129000,студия,6.0,57.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.8181818181818182,0,1991-2025
ЗАО,р-н Раменки,100000,1,8.0,37.7,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4444444444444444,0,1991-2025
ЗАО,р-н Кунцево,80000,2,4.0,48.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.72,0,1991-2025
ЮВАО,р-н Лефортово,85000,студия,9.0,33.3,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.8,0,1991-2025
САО,р-н Хорошевский,250000,3,8.0,84.0,включена (без счётчиков),1 месяц,от года,можно с детьми,1.0,1,не попал
ЮВАО,р-н Нижегородский,85000,1,12.0,34.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.12121212121212122,0,1991-2025
ЮВАО,р-н Люблино,45000,1,15.0,38.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.5882352941176471,0,1970-1990
ЮВАО,р-н Капотня,85000,2,10.0,53.0,включена (счётчики включены),2 месяца,от года,можно с детьми и животными,0.16666666666666666,0,1970-1990
НАО (Новомосковский),Сосенское поселение,45000,студия,6.0,23.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.17647058823529413,0,1991-2025
СЗАО,р-н Митино,45000,студия,5.0,22.8,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.21428571428571427,0,не попал
САО,р-н Хорошевский,135000,3,10.0,80.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.6470588235294118,0,1991-2025
ЮВАО,р-н Нижегородский,85000,1,12.0,41.3,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.32,0,1991-2025
ВАО,р-н Богородское,140000,2,5.0,71.0,включена (без счётчиков),1 месяц,от года,можно с детьми,1.0,1,не попал
СЗАО,р-н Северное Тушино,73000,3,6.0,60.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.7777777777777778,0,не попал
ЮВАО,р-н Лефортово,90000,2,11.0,51.3,включена (без счётчиков),1 месяц,от года,можно с детьми,0.625,0,не попал
ЗАО,р-н Солнцево,55000,1,4.0,38.2,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.8823529411764706,0,не попал
САО,р-н Левобережный,65000,1,5.0,35.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.4117647058823529,0,1945-1970
СВАО,р-н Северное Медведково,45000,1,6.0,38.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.9285714285714286,0,1991-2025
САО,р-н Левобережный,80000,3,6.0,64.5,включена (счётчики включены),1 месяц,от года,можно с детьми,1.0,1,1945-1970
НАО (Новомосковский),Сосенское поселение,35000,студия,6.0,23.4,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.14285714285714285,0,1991-2025
НАО (Новомосковский),Филимонковское поселение,30000,студия,11.0,30.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.25,0,не попал
СВАО,р-н Свиблово,75000,1,6.0,37.8,включена (счётчики включены),1 месяц,от года,можно с детьми,0.9411764705882353,0,не попал
ЦАО,р-н Мещанский,68000,1,7.0,31.8,включена (без счётчиков),1 месяц,от года,можно с детьми,0.75,0,не попал
ЗАО,р-н Проспект Вернадского,53000,1,15.0,35.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.6,0,1945-1970
НАО (Новомосковский),ул. Гренадерская,41000,1,11.0,38.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.9375,0,1991-2025
ЮЗАО,р-н Ясенево,70000,2,4.0,54.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.9375,0,1970-1990
СЗАО,р-н Митино,45000,1,6.0,38.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.44,0,1991-2025
ТАО (Троицкий),Щапово поселок,38000,1,17.0,35.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.2,0,1970-1990
ЗАО,р-н Филевский парк,85000,3,6.0,73.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.9545454545454546,0,не попал
ЮВАО,р-н Марьино,47000,1,16.0,37.7,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.35294117647058826,0,не попал
ВАО,р-н Вешняки,40000,студия,4.0,16.1,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.16666666666666666,0,не попал
НАО (Новомосковский),Десеновское поселение,39000,студия,16.0,22.3,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.35714285714285715,0,1991-2025
СЗАО,р-н Покровское-Стрешнево,50000,студия,5.0,29.0,включена (счётчики включены),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.40384615384615385,0,не попал
СВАО,р-н Бабушкинский,42000,студия,6.0,14.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.8,0,не попал
САО,р-н Головинский,45000,студия,19.0,15.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.4,0,не попал
ЮЗАО,р-н Южное Бутово,48000,1,9.0,27.7,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4,0,не попал
ЮЗАО,р-н Южное Бутово,40000,1,4.0,38.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.1,0,1991-2025
НАО (Новомосковский),ул. Медовая Долина,40000,студия,7.0,26.63,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",1.0,1,1991-2025
НАО (Новомосковский),Рязановское поселение,40000,1,8.0,42.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6666666666666666,0,не попал
НАО (Новомосковский),Сосенское поселение,45000,1,5.0,36.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.16666666666666666,0,1991-2025
НАО (Новомосковский),ш. Остафьевское,35000,студия,6.0,26.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.35714285714285715,0,1991-2025
ЮВАО,р-н Печатники,49990,студия,11.0,17.5,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.42857142857142855,0,не попал
СЗАО,р-н Митино,45000,1,5.0,39.0,включена (без счётчиков),1 месяц,от года,можно с детьми,1.0,1,1991-2025
НАО (Новомосковский),бул. Скандинавский,43000,студия,6.0,23.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.125,0,1991-2025
НАО (Новомосковский),Щербинка,48000,2,10.0,60.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.5,0,не попал
НАО (Новомосковский),ул. 1-я Нововатутинская,45000,1,14.0,38.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.8333333333333334,0,1991-2025
ЮЗАО,р-н Зюзино,65000,3,15.0,54.7,включена (без счётчиков),1 месяц,от года,можно с детьми,1.0,1,1945-1970
ЮВАО,р-н Печатники,45000,студия,11.0,17.2,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.42857142857142855,0,не попал
ВАО,р-н Вешняки,42000,1,5.0,33.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.4444444444444444,0,не попал
ЮВАО,р-н Некрасовка,43000,1,8.0,40.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4117647058823529,0,1991-2025
НАО (Новомосковский),Внуковское поселение,48000,1,7.0,39.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.21052631578947367,0,не попал
ЗАО,р-н Кунцево,45000,1,10.0,22.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.875,0,не попал
СВАО,р-н Отрадное,44000,студия,4.0,20.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.1875,0,не попал
НАО (Новомосковский),Рязановское поселение,42000,1,6.0,37.6,включена (без счётчиков),1 месяц,от года,можно с детьми,1.0,1,1991-2025
НАО (Новомосковский),Новомосковский административный округ,45000,студия,13.0,25.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.43478260869565216,0,1991-2025
СВАО,р-н Бабушкинский,42000,студия,6.0,15.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.8,0,не попал
НАО (Новомосковский),Сосенское поселение,42000,студия,6.0,20.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.9411764705882353,0,1991-2025
ЮЗАО,р-н Южное Бутово,42000,студия,11.0,21.5,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.5882352941176471,0,1991-2025
ЮАО,р-н Чертаново Северное,48000,студия,6.0,16.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.1,0,1970-1990
НАО (Новомосковский),Скандинавия жилой комплекс,50000,студия,4.0,25.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.7142857142857143,0,не попал
ЮАО,р-н Даниловский,45000,3,11.0,69.8,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.15,0,не попал
СВАО,р-н Ярославский,48000,1,10.0,37.8,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.058823529411764705,0,1991-2025
